1.000,58.0,5.6,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,
0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,
0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,

0.102,39.0,1.0,1.000,12.7,1.2,0.000,0.0,0.0,0.000,0.0,0.0,
0.623,49.0,9.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,
0.275,56,2.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,

0.071,28.0,2.0,0.206,40.0,6.0,0.720,13.0,1.0,0.000,0.0,0.0,
0.113,33.0,1.0,0.472,67.0,7.0,0.140,7.0,1.0,0.000,0.0,0.0,
0.816,37.0,1.0,0.322,71.0,3.0,0.132,20.0,1.0,0.000,0.0,0.0,

1.000,37.0,2.0,0.320,53.0,7.0,1.000,13.0,0.0,1.000,13.0,0.0,
0.000,0.00,0.0,0.680,59.0,3.0,0.000,0.0,0.0,0.000,0.0,0.0,
0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,0.000,0.0,0.0,